time, lat, lon, total
010/05/18T18:11:28,51.528747,-0.092942,22.7
010/05/18T18:11:36,51.528689,-0.092726,22.7
010/05/18T18:11:45,51.528616,-0.092530,13.2
010/05/18T18:11:56,51.528542,-0.092345,40.9
010/05/18T18:12:10,51.528512,-0.092053,11.4
010/05/18T18:12:26,51.528520,-0.091925,15.9
010/05/18T18:12:34,51.528478,-0.091715,15.9
010/05/18T18:12:49,51.528351,-0.091480,44.4
010/05/18T18:13:01,51.528271,-0.091286,37.1
010/05/18T18:13:17,51.528155,-0.091005,44.2
010/05/18T18:13:26,51.528104,-0.090789,23.3
010/05/18T18:13:38,51.528038,-0.090464,23.3
010/05/18T18:14:14,51.527877,-0.089993,16.8
010/05/18T18:14:21,51.527752,-0.089593,16.8
010/05/18T18:14:25,51.527726,-0.089432,34
010/05/18T18:14:34,51.527658,-0.089131,34
010/05/18T18:15:25,51.527791,-0.088749,44.4
010/05/18T18:15:36,51.528073,-0.088623,44.4
010/05/18T18:15:48,51.528354,-0.088563,20
010/05/18T18:16:01,51.528619,-0.088442,15.4
010/05/18T18:16:22,51.528880,-0.088235,24.9
010/05/18T18:16:36,51.529067,-0.087870,15.9
010/05/18T18:16:43,51.529308,-0.087634,49.5
010/05/18T18:16:57,51.529446,-0.087512,16.3
010/05/18T18:17:03,51.529454,-0.087469,16.3
010/05/18T18:17:31,51.529566,-0.087048,15.5
010/05/18T18:17:47,51.529716,-0.086685,66.4
