TimeStamp,time,TotalPM,PM10,PM2.5,PM1,particles_A,P,particles
10/05/2010,10:26:06,51.3,8.1,2.77,.6, , , 
10/05/2010,10:26:21,29.3,12.5,2.8,.71, , , 
10/05/2010,10:26:36,29.5,14.3,2.02,.65, , , 
10/05/2010,10:26:51,5.4,5,2.93,.65, , , 
10/05/2010,10:27:06,24.3,12.9,2.21,.72, , , 
10/05/2010,10:27:21,37.7,7.2,2.05,.59, , , 
10/05/2010,10:27:36,44.3,11.9,2.37,.62, , , 
10/05/2010,10:27:51,16.6,6,2.49,.68, , , 
10/05/2010,10:28:06,17.5,7.9,2.77,.52, , , 
10/05/2010,10:28:21,17.5,12.2,3.05,.72, , , 
10/05/2010,10:28:36,21.9,11.2,2.28,.57, , , 
10/05/2010,10:28:51,29.3,9.3,2.78,.67, , , 
10/05/2010,10:29:06,66.5,14.3,2.6,.65, , , 
10/05/2010,10:29:21,64.7,12,2.69,.69, , , 
10/05/2010,10:29:36,50.5,8.9,2.66,.72, , , 
10/05/2010,10:29:51,53.5,14.8,3.06,.65, , , 
10/05/2010,10:30:06,75.6,16.1,3.11,.72, , , 
10/05/2010,10:30:21,32.7,11.1,2.7,.58, , , 
10/05/2010,10:30:36,35.3,15.4,3,.69, , , 
10/05/2010,10:30:51,32.7,11.6,3.16,.61, , , 
10/05/2010,10:31:06,51.4,13.7,3.12,.74, , , 
10/05/2010,10:31:21,51.4,9,3.1,.77, , , 
10/05/2010,10:31:36,22.6,13.4,2.77,.74, , , 
10/05/2010,10:31:51,55.4,17.7,2.66,.67, , , 
10/05/2010,10:32:06,43.5,13.9,2.9,.76, , , 
10/05/2010,10:32:21,21,13.1,3.02,.79, , , 
10/05/2010,10:32:36,7.8,7.1,2.9,.72, , , 
10/05/2010,10:32:51,31.8,12.1,3.07,.73, , , 
10/05/2010,10:33:06,46.4,14.7,2.74,.67, , , 
10/05/2010,10:33:21,24,12.6,2.24,.65, , , 
10/05/2010,10:33:36,50.7,11.9,3.05,.69, , , 
10/05/2010,10:33:51,90.4,16.2,2.62,.68, , , 
10/05/2010,10:34:06,57.8,12,2.77,.73, , , 
10/05/2010,10:34:21,80.6,11.6,2.97,.67, , , 
10/05/2010,10:34:36,92.8,11.2,2.85,.65, , , 
10/05/2010,10:34:51,12.3,9.9,2.81,.63, , , 
10/05/2010,10:35:06,74.2,13.3,2.72,.76, , , 
10/05/2010,10:35:21,24.6,10,3.29,.71, , , 
10/05/2010,10:35:36,59.2,10.3,2.72,.66, , , 
10/05/2010,10:35:51,61.1,14,2.92,.7, , , 
